R_ECC_RECOVERED,R_READ_ERROR_RATE,R_COMMAND_TIMEOUT,N_WEAR_LEVELING_COUNT,R_UNUSED_BLOCK_COUNT,R_CRC_ERROR,R_ERASE_FAIL_COUNT,N_UNUSED_BLOCK_COUNT,R_PROGRAM_FAIL_COUNT,R_UNCORR_SECTOR_COUNT,N_PROGRAM_FAIL_COUNT,Actual,Prediction,Active_probability,Failure_probability
420545604,4294967295,0,55,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.25937778,0.7406222
676330,4294967295,0,34,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0018526316,0.99814737
406330,4294967295,4,1,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.010420263,0.98957974
240389472,4294967295,0,81,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.015764475,0.9842355
812760,4294967295,0,59,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0011354685,0.99886453
124329681,4294967295,0,93,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.00044089556,0.9995591
3122471036,4294967295,0,57,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0011743903,0.9988256
500853062,4294967295,0,91,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0014918447,0.99850816
700220928,4294967295,0,27,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.069200814,0.9307992
503910552,4294967295,0,69,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.024363875,0.9756361
2433943256,4294967295,0,38,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.035267234,0.96473277
115539921,4294967295,0,95,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0002490878,0.9997509
366777853,4294967295,0,74,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.021885633,0.97811437
5223257,4294967295,0,96,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.000108122826,0.9998919
2045602384,4294967295,0,17,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0047760606,0.99522394
93693664,4294967295,0,91,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.00096571445,0.9990343
394488,4294967295,0,97,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,5.0663948e-05,0.99994934
406869,4294967295,0,97,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,2.7656555e-05,0.99997234
13558617,4294967295,0,97,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.00078189373,0.9992181
1002339745,4294967295,0,37,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0023556352,0.99764436
837338676,4294967295,0,69,4294967295.0,0,0,130,8,0,100,Failed,predicted_failed,0.030054688,0.9699453
44686801,4294967295,0,93,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0013193488,0.99868065
198920225,4294967295,1,57,4294967295.0,2,0,130,0,0,100,Failed,predicted_failed,0.035214424,0.9647856
95849138,4294967295,0,94,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.00022906065,0.99977094
365679,4294967295,0,78,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0007979274,0.9992021
566759,4294967295,0,97,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,3.325939e-05,0.99996674
1092841,4294967295,0,76,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.0011034012,0.9988966
142802283,4294967295,0,82,4294967295.0,0,0,130,2,0,100,Failed,predicted_failed,0.039203107,0.9607969
124965706,4294967295,1,83,4294967295.0,0,0,130,0,0,100,Failed,predicted_failed,0.023149729,0.9768503
